Region,n_transfers,n_ambiguous,mean_overall_spread,ambiguous_rate
Americas (other),9,7,17.857142857142858,0.7777777777777778
Unmapped,161,89,15.719101123595506,0.5527950310559007
South America,161,77,17.103896103896105,0.4782608695652174
W. Europe,471,148,16.52027027027027,0.31422505307855625
Africa,92,27,15.74074074074074,0.29347826086956524
Asia & Oceania,11,2,22.0,0.18181818181818182
E. Europe,82,13,12.23076923076923,0.15853658536585366
