feature,baseline_max_gap,permuted_max_gap,gap_removed
Passport_Premium,0.15131127317401927,0.11223874086209047,0.039072532311928795
Age_Feature,0.15131127317401927,0.1440528014929515,0.007258471681067774
Home_Nation_Transfer,0.15131127317401927,0.15420753958555294,-0.0028962664115336767
Financial_Strength,0.15131127317401927,0.15516283089665006,-0.003851557722630794
xA_Proxy,0.15131127317401927,0.17290461698714882,-0.02159334381312955
Position_Feature,0.15131127317401927,0.19172962677733973,-0.04041835360332047
xG_Proxy,0.15131127317401927,0.1961927937942711,-0.04488152062025183
Contract_Duration,0.15131127317401927,0.2602065551511465,-0.10889528197712722
Ability_Overall,0.15131127317401927,0.5910112934854588,-0.4397000203114395
Ability_Potential,0.15131127317401927,0.8329662369251611,-0.6816549637511419
