Name,Nationality,nationality_match_source,Nationality_bucket,Transfer_fee_in_mln,log_transfer_fee,fee_minus_value,Market_value_in_mln,potential,market_value_per_potential,position_bucket,league_country_to,nationality_matches_league_to,League_to,age_bucket,is_top_club_to,is_top_league,high_overall
Georginio Wijnaldum,Netherlands,fallback_lastname_season,Top 1-15,20.0,3.044522437723423,5.0,15.0,83.0,0.18072289156626506,Midfielder,England,False,Premier League,20-23,True,True,True
Giannelli Imbula,France,fallback_lastname_season,Top 1-15,20.0,3.044522437723423,8.0,12.0,80.0,0.15,Midfielder,Portugal,False,Liga NOS,20-23,False,True,False
Abdul Rahman Baba,Ghana,fallback_team_from,Top 16-30,20.0,3.044522437723423,10.0,10.0,75.0,0.13333333333333333,Defender,England,False,Premier League,20-23,True,True,False
Ivan Perisic,Croatia,fallback_team_from,Top 16-30,19.0,2.995732273553991,6.0,13.0,82.0,0.15853658536585366,Winger,Italy,False,Serie A,24-26,True,True,True
Aleksandar Mitrovic,Serbia,fallback_team_from,Top 1-15,18.5,2.970414465569701,7.5,11.0,85.0,0.12941176470588237,Forward,England,False,Premier League,<20,True,True,False
Florian Thauvin,France,fallback_lastname_season,Top 1-15,18.35,2.962692419475791,6.350000000000001,12.0,84.0,0.14285714285714285,Winger,England,False,Premier League,20-23,True,True,True
Gervinho,Ivory Coast,fallback_lastname_season,Top 16-30,18.0,2.9444389791664403,3.0,15.0,83.0,0.18072289156626506,Winger,China,False,Super League,27-29,False,True,True
Matteo Darmian,Italy,fallback_team_from,Top 1-15,18.0,2.9444389791664403,6.0,12.0,79.0,0.1518987341772152,Defender,England,False,Premier League,24-26,True,True,False
Simone Zaza,Italy,fallback_team_from,Top 1-15,18.0,2.9444389791664403,7.0,11.0,83.0,0.13253012048192772,Forward,Italy,True,Serie A,20-23,True,True,False
Sergej Milinkovic-Savic,Serbia,fallback_team_from,Top 1-15,18.0,2.9444389791664403,14.0,4.0,65.0,0.06153846153846154,Midfielder,Italy,False,Serie A,<20,False,True,False
Oumar Niasse,Senegal,fallback_lastname_season,Top 16-30,17.9,2.9391619220655967,7.899999999999999,10.0,79.0,0.12658227848101267,Forward,England,False,Premier League,24-26,True,True,False
Nathaniel Clyne,England,fallback_team_from,Top 1-15,17.7,2.928523523860541,0.6999999999999993,17.0,81.0,0.20987654320987653,Defender,England,True,Premier League,20-23,True,True,False
José Salomón Rondón,Venezuela,fallback_lastname_season,Top 31-45,17.0,2.8903717578961645,2.0,15.0,83.0,0.18072289156626506,Forward,England,False,Premier League,24-26,False,True,True
,Brazil,fallback_team_from,Top 1-15,16.0,2.833213344056216,1.0,15.0,82.0,0.18292682926829268,Defender,Spain,False,LaLiga,27-29,True,True,True
Moussa Sow,Senegal,fallback_lastname_season,Top 16-30,16.0,2.833213344056216,3.0,13.0,78.0,0.16666666666666666,Forward,United Arab Emirates,False,UAE Gulf League,27-29,False,False,True
Jonjo Shelvey,England,fallback_lastname_season,Top 1-15,16.0,2.833213344056216,4.0,12.0,80.0,0.15,Midfielder,England,True,Premier League,20-23,True,True,False
Roberto Soldado,Spain,fallback_lastname_season,Top 1-15,16.0,2.833213344056216,6.0,10.0,81.0,0.12345679012345678,Forward,Spain,True,LaLiga,27-29,True,True,True
Andros Townsend,England,fallback_lastname_season,Top 1-15,15.7,2.8154087194227095,7.699999999999999,8.0,82.0,0.0975609756097561,Winger,England,True,Premier League,20-23,True,True,False
Virgil van Dijk,Netherlands,fallback_team_from,Top 1-15,15.7,2.8154087194227095,10.7,5.0,79.0,0.06329113924050633,Defender,England,False,Premier League,20-23,False,True,False
Asier Illarramendi,Spain,fallback_team_from,Top 1-15,15.0,2.772588722239781,0.0,15.0,84.0,0.17857142857142858,Midfielder,Spain,True,LaLiga,24-26,False,True,True
Dimitri Payet,France,fallback_lastname_season,Top 1-15,15.0,2.772588722239781,2.0,13.0,81.0,0.16049382716049382,Midfielder,England,False,Premier League,27-29,True,True,True
,Spain,fallback_team_from,Top 1-15,15.0,2.772588722239781,5.0,10.0,83.0,0.12048192771084337,Midfielder,Italy,False,Serie A,27-29,False,True,True
Jordy Clasie,Netherlands,fallback_team_from,Top 1-15,15.0,2.772588722239781,5.0,10.0,81.0,0.12345679012345678,Midfielder,England,False,Premier League,20-23,False,True,True
Clinton N'Jie,Cameroon,fallback_lastname_season,Top 31-45,14.1,2.714694743820879,9.1,5.0,64.0,0.078125,Forward,England,False,Premier League,20-23,False,True,False
Petr Cech,Czech Republic,fallback_team_from,Top 31-45,14.0,2.70805020110221,2.0,12.0,85.0,0.1411764705882353,Goalkeeper,England,False,Premier League,30+,False,True,True
Paulinho,Brazil,fallback_lastname_season,Top 1-15,14.0,2.70805020110221,5.0,9.0,85.0,0.10588235294117647,Midfielder,China,False,Super League,24-26,False,True,True
Yohan Cabaye,France,fallback_lastname_season,Top 1-15,13.9,2.7013612129514133,-2.0999999999999996,16.0,81.0,0.19753086419753085,Midfielder,England,False,Premier League,27-29,False,True,True
,Spain,fallback_team_from,Top 1-15,13.1,2.6461747973841225,5.6,7.5,75.0,0.1,Midfielder,France,False,Ligue 1,20-23,False,True,False
Hernanes,Brazil,fallback_team_from,Top 1-15,13.0,2.6390573296152584,-1.0,14.0,82.0,0.17073170731707318,Midfielder,Italy,False,Serie A,27-29,True,True,True
Fredy Guarín,Colombia,fallback_team_from,Top 1-15,13.0,2.6390573296152584,2.5,10.5,79.0,0.13291139240506328,Midfielder,China,False,Super League,27-29,False,True,True
Ramiro Funes Mori,Argentina,fallback_team_from,Top 1-15,12.9,2.631888840136646,6.9,6.0,74.0,0.08108108108108109,Defender,England,False,Premier League,20-23,True,True,False
Mohamed Elneny,Egypt,fallback_lastname_season,Top 31-45,12.5,2.6026896854443837,8.5,4.0,72.0,0.05555555555555555,Midfielder,England,False,Premier League,20-23,False,True,False
Andre Gray,England,fallback_team_from,Top 1-15,12.4,2.5952547069568657,11.4,1.0,60.0,0.016666666666666666,Forward,England,True,Championship,20-23,False,True,False
Luis Muriel,Colombia,fallback_lastname_season,Top 1-15,12.0,2.5649493574615367,2.0,10.0,81.0,0.12345679012345678,Forward,Italy,False,Serie A,20-23,False,True,False
Chancel Mbemba,DR Congo,fallback_team_from,Top 16-30,12.0,2.5649493574615367,4.0,8.0,83.0,0.0963855421686747,Defender,England,False,Premier League,<20,True,True,False
Jordan Ayew,Ghana,fallback_team_from,Top 16-30,12.0,2.5649493574615367,6.0,6.0,78.0,0.07692307692307693,Forward,England,False,Premier League,20-23,False,True,False
Jordan Rhodes,Scotland,fallback_lastname_season,Top 1-15,11.9,2.5572273113676265,1.9000000000000004,10.0,77.0,0.12987012987012986,Forward,England,False,Championship,24-26,False,True,False
Allan,Brazil,fallback_lastname_season,Top 1-15,11.5,2.5257286443082556,0.0,11.5,77.0,0.14935064935064934,Midfielder,Italy,False,Serie A,20-23,False,True,False
Fabian Delph,England,fallback_team_from,Top 1-15,11.5,2.5257286443082556,1.5,10.0,81.0,0.12345679012345678,Midfielder,England,True,Premier League,24-26,True,True,False
Tyrone Mings,England,fallback_lastname_season,Top 1-15,11.3,2.509599262378372,5.300000000000001,6.0,66.0,0.09090909090909091,Defender,England,True,Premier League,20-23,False,True,False
James Chester,Wales,fallback_team_from,Top 16-30,11.3,2.509599262378372,9.3,2.0,73.0,0.0273972602739726,Defender,England,False,Premier League,24-26,False,True,False
Gonzalo Castro,Germany,fallback_lastname_season,Top 1-15,11.0,2.4849066497880004,-3.0,14.0,82.0,0.17073170731707318,Midfielder,Germany,True,1.Bundesliga,27-29,False,True,True
Asmir Begovic,Bosnia Herzegovina,fallback_team_from,Top 31-45,11.0,2.4849066497880004,-1.0,12.0,84.0,0.14285714285714285,Goalkeeper,England,False,Premier League,27-29,True,True,True
Ciro Immobile,Italy,fallback_lastname_season,Top 1-15,11.0,2.4849066497880004,1.0,10.0,85.0,0.11764705882352941,Forward,Spain,False,LaLiga,24-26,True,True,True
Angelo Ogbonna,Italy,fallback_team_from,Top 1-15,11.0,2.4849066497880004,2.0,9.0,81.0,0.1111111111111111,Defender,England,False,Premier League,24-26,True,True,True
Shinji Okazaki,Japan,fallback_lastname_season,Top 31-45,11.0,2.4849066497880004,3.0,8.0,77.0,0.1038961038961039,Forward,England,False,Premier League,27-29,True,True,True
Jonathan Calleri,Argentina,fallback_team_from,Top 1-15,11.0,2.4849066497880004,3.5,7.5,74.0,0.10135135135135136,Forward,,,Segunda División - Segunda Fase,20-23,False,False,False
Steven Naismith,Scotland,fallback_team_from,Top 1-15,11.0,2.4849066497880004,6.0,5.0,76.0,0.06578947368421052,Winger,England,False,Premier League,27-29,False,True,True
Thiago Neves,Brazil,fallback_lastname_season,Top 1-15,11.0,2.4849066497880004,7.0,4.0,78.0,0.05128205128205128,Midfielder,United Arab Emirates,False,UAE Gulf League,27-29,False,False,True
Jordan Amavi,France,fallback_team_from,Top 1-15,11.0,2.4849066497880004,7.0,4.0,73.0,0.0547945205479452,Defender,England,False,Premier League,20-23,False,True,False
Timm Klose,Switzerland,fallback_team_from,Top 1-15,11.0,2.4849066497880004,8.0,3.0,77.0,0.03896103896103896,Defender,England,False,Premier League,24-26,False,True,False
Fabio Borini,Italy,fallback_team_from,Top 1-15,10.7,2.4595888418037104,3.6999999999999993,7.0,79.0,0.08860759493670886,Winger,England,False,Premier League,20-23,False,True,False
Abdoulaye Doucouré,France,fallback_lastname_season,Top 1-15,10.6,2.451005098112319,4.6,6.0,78.0,0.07692307692307693,Midfielder,England,False,Premier League,20-23,True,True,False
Johannes Geis,Germany,fallback_lastname_season,Top 1-15,10.5,2.4423470353692043,-0.5,11.0,82.0,0.13414634146341464,Midfielder,Germany,True,1.Bundesliga,20-23,False,True,True
Jesús Corona,Mexico,fallback_team_from,Top 1-15,10.5,2.4423470353692043,4.0,6.5,74.0,0.08783783783783784,Winger,Portugal,False,Liga NOS,20-23,False,True,False
Josip Drmic,Switzerland,fallback_lastname_season,Top 1-15,10.0,2.3978952727983707,2.0,8.0,82.0,0.0975609756097561,Forward,Germany,False,1.Bundesliga,20-23,False,True,True
Jordan Veretout,France,fallback_team_from,Top 1-15,10.0,2.3978952727983707,2.0,8.0,82.0,0.0975609756097561,Midfielder,England,False,Premier League,20-23,False,True,False
,Ivory Coast,fallback_lastname_season,Top 16-30,10.0,2.3978952727983707,3.5,6.5,77.0,0.08441558441558442,Winger,England,False,Premier League,24-26,False,True,False
Connor Wickham,England,fallback_team_from,Top 1-15,10.0,2.3978952727983707,5.0,5.0,83.0,0.060240963855421686,Forward,England,True,Premier League,20-23,False,True,False
