Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Central Midfield,28,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2015,37.5,42.0,Vidal,Juventus,85.0,87.0,2015.0,Arturo Vidal,Chile,fallback_team_from,3.6506582412937387,-4.5,0.4827586206896552,Top 16-30,12.0,30.0,27-29,Midfielder,Germany,False,True,False,True
Forward,28,FC Porto,Liga NOS,Atletico Madrid,LaLiga,2015,37.1,35.0,Martinez,FC Porto,85.0,86.0,2015.0,,Colombia,fallback_team_from,3.6402142821326553,2.1000000000000014,0.4069767441860465,Top 1-15,13.75,25.0,27-29,Forward,Spain,False,True,True,True
Forward,28,FC Porto,Liga NOS,Atletico Madrid,LaLiga,2015,37.1,35.0,Martinez,FC Porto,82.0,85.0,2015.0,,Colombia,fallback_team_from,3.6402142821326553,2.1000000000000014,0.4117647058823529,Top 1-15,13.75,25.0,27-29,Forward,Spain,False,True,True,True
Forward,28,FC Porto,Liga NOS,Atletico Madrid,LaLiga,2015,37.1,35.0,Martinez,FC Porto,66.0,66.0,2015.0,,Colombia,fallback_team_from,3.6402142821326553,2.1000000000000014,0.5303030303030303,Top 1-15,13.75,25.0,27-29,Forward,Spain,False,False,True,True
Forward,28,FC Porto,Liga NOS,Atletico Madrid,LaLiga,2015,37.1,35.0,Martinez,FC Porto,50.0,54.0,2015.0,,Colombia,fallback_team_from,3.6402142821326553,2.1000000000000014,0.6481481481481481,Top 1-15,13.75,25.0,27-29,Forward,Spain,False,False,True,True
Central Midfield,22,Monaco,Ligue 1,Inter,Serie A,2015,36.0,16.0,Kondogbia,Monaco,75.0,80.0,2015.0,Geoffrey Kondogbia,France,fallback_lastname_season,3.6109179126442243,20.0,0.2,Top 1-15,11.0,17.5,20-23,Midfielder,Italy,False,False,True,True
Defensive Midfield,25,Southampton,Premier League,Man Utd,Premier League,2015,35.0,28.0,Schneiderlin,Southampton,80.0,84.0,2015.0,Morgan Schneiderlin,France,fallback_team_from,3.58351893845611,7.0,0.3333333333333333,Top 1-15,15.1,40.0,24-26,Midfielder,England,False,True,True,True
Left Winger,28,Atletico Madrid,LaLiga,FC Barcelona,LaLiga,2015,34.0,35.0,Turan,Atletico Madrid,84.0,88.0,2015.0,,Turkey,fallback_team_from,3.5553480614894135,-1.0,0.3977272727272727,Top 16-30,13.75,32.285,27-29,Winger,Spain,False,True,False,True
Left Winger,21,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2015,34.0,28.0,Depay,PSV Eindhoven,78.0,88.0,2015.0,Memphis Depay,Netherlands,fallback_lastname_season,3.5553480614894135,6.0,0.3181818181818182,Top 1-15,15.1,40.0,20-23,Winger,England,False,True,True,True
Right-Back,23,FC Porto,Liga NOS,Real Madrid,LaLiga,2015,31.5,25.0,Danilo,FC Porto,77.0,84.0,2015.0,Danilo,Brazil,fallback_team_from,3.481240089335692,6.5,0.2976190476190476,Top 1-15,13.75,30.0,20-23,Defender,Spain,False,True,False,True
